Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.6697	0.1925	0.1260	0.1523	0.4652	0.2067	1240676	855585	2096261
multilex_test_de_ls.tsv	German	0.3912	0.0805	0.1509	0.1050	0.2807	0.1579	1476456	1051967	2528423
multilex_test_en_ls.tsv	English	0.8456	0.2235	0.4353	0.2954	0.6684	0.3526	1151140	790049	1941189
multilex_test_es_ls.tsv	Spanish	0.7774	0.2684	0.1937	0.2250	0.6239	0.3221	1372676	1078140	2450816
multilex_test_fil_ls.tsv	Filipino	0.1018	0.0186	0.0497	0.0270	0.0579	0.0404	1123878	1225798	2349676
multilex_test_fr_ls.tsv	French	0.7947	0.2434	0.2471	0.2452	0.5982	0.3368	1255794	1063678	2319472
multilex_test_it_ls.tsv	Italian	0.7614	0.1917	0.2294	0.2089	0.5474	0.2684	1403208	1054588	2457796
multilex_test_ja_ls.tsv	Japanese	0.5123	0.1379	0.0689	0.0918	0.3228	0.1491	1358430	1227334	2585764
multilex_test_pt_ls_568.tsv	Portuguese	0.6919	0.1345	0.2813	0.1820	0.4454	0.2782	1381862	1081017	2462879
multilex_test_si_ls.tsv	Sinhala	0.0083	0.0023	0.0041	0.0030	0.0033	0.0033	3494256	1295297	4789553
