Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.6202	0.1694	0.1181	0.1392	0.4494	0.1865	815816	683178	1498994
multilex_test_de_ls.tsv	German	0.3965	0.0783	0.1584	0.1048	0.2947	0.1614	932856	836806	1769662
multilex_test_en_ls.tsv	English	0.7702	0.2030	0.3935	0.2678	0.5772	0.3123	607540	631088	1238628
multilex_test_es_ls.tsv	Spanish	0.7487	0.2372	0.1861	0.2086	0.5734	0.3052	804296	847084	1651380
multilex_test_fil_tgl_ls.tsv	Filipino	0.0947	0.0129	0.0459	0.0201	0.0632	0.0421	580278	1103356	1683634
multilex_test_fr_ls.tsv	French	0.7684	0.2121	0.2407	0.2255	0.5877	0.3158	712194	809683	1521877
multilex_test_it_ls.tsv	Italian	0.7614	0.1791	0.2405	0.2053	0.5281	0.2491	859608	823870	1683478
multilex_test_ja_ls.tsv	Japanese	0.5228	0.1090	0.0756	0.0893	0.3351	0.1368	814830	1199370	2014200
multilex_test_pt_ls_568.tsv	Portuguese	0.6761	0.1201	0.2799	0.1681	0.4366	0.2641	839402	807051	1646453
multilex_test_si_ls.tsv	Sinhala	0.0117	0.0019	0.0048	0.0027	0.0000	0.0000	3005336	1294998	4300334
